DMX ID,Light ID,Dome Theta,Dome Phi,Dome X,Dome Y,Dome Z,Pixel U,Pixel V
5,155,0.484105,2.96566,-0.458232,0.885092,0.0814584,0.972,0.154095
1,175,2.05005,5.33216,0.51541,-0.461117,-0.722305,0.348639,0.652551
8,85,1.7065,1.18023,0.377207,-0.135292,0.916194,0.68784,0.543197
9,135,1.47356,0.42003,0.908763,0.0970866,0.405861,0.56685,0.469048
2,155,0.471647,4.63378,-0.0356789,0.890821,-0.452951,0.237489,0.15013
6,175,2.0167,2.18174,-0.517552,-0.431273,0.739015,0.847235,0.641935
2,35,1.31406,5.09845,0.364203,0.253921,-0.896036,0.311444,0.41828
6,15,2.5992,2.63641,-0.451708,-0.856475,0.24982,0.919597,0.82735
4,185,1.3075,3.40987,-0.930998,0.260264,-0.25594,0.0426984,0.41619
5,35,1.3759,3.24423,-0.975905,0.193664,-0.100522,0.016336,0.437963
1,15,2.53095,5.68796,0.47478,-0.819282,-0.321497,0.405267,0.805628
3,185,1.2716,4.01815,-0.611374,0.294755,-0.734399,0.139509,0.404762
3,190,1.0753,4.0197,-0.561808,0.475465,-0.676982,0.139755,0.34228
5,20,2.23402,3.17507,-0.787569,-0.615662,-0.026379,0.0053288,0.711111
4,190,1.12761,3.32859,-0.887639,0.428823,-0.167951,0.0297619,0.358929
2,20,2.31837,5.17957,0.330275,-0.679859,-0.654759,0.324354,0.737959
9,40,1.00232,0.666787,0.662221,0.538351,0.521193,0.606122,0.319048
6,160,2.89881,2.21011,-0.143437,-0.970673,0.192927,0.85175,0.922719
2,140,1.33298,4.7614,0.0476086,0.235577,-0.970689,0.2578,0.424302
9,120,2.55111,0.37444,0.518182,-0.830674,0.203635,0.559594,0.812045
8,90,1.19886,1.20763,0.330947,0.363419,0.870862,0.6922,0.381609
1,160,2.90519,5.45651,0.158635,-0.972186,-0.172303,0.36843,0.92475
5,140,1.35963,2.97013,-0.963449,0.2096,0.166835,0.972711,0.432784
3,40,1.08733,4.35773,-0.307471,0.464847,-0.830288,0.193554,0.346109
8,20,2.30383,1.33571,0.173098,-0.669131,0.722704,0.712585,0.733333
4,40,1.03501,3.83308,-0.662356,0.510519,-0.54832,0.110053,0.329453
9,190,0.970584,0.287866,0.79126,0.564817,0.234284,0.545815,0.308947
0,60,3.07487,1.85848,-0.018917,-0.997775,0.0639329,0.795786,0.978762
4,120,2.56161,3.55779,-0.501231,-0.83647,-0.221552,0.0662393,0.815385
2,90,1.24757,4.93996,0.21393,0.317627,-0.923768,0.286219,0.397114
0,100,0.666506,6.23752,0.617599,0.785987,-0.0282235,0.492732,0.212155
3,120,2.53519,4.11782,-0.319239,-0.821705,-0.47211,0.155371,0.806977
8,140,1.26938,1.05883,0.467804,0.296872,0.832482,0.668519,0.404056
5,90,1.29912,3.09731,-0.962379,0.268343,0.0426436,0.992952,0.413524
7,100,0.763671,1.8326,-0.178994,0.722302,0.668012,0.791667,0.243084
7,115,2.76881,1.56311,0.00279777,-0.931316,0.364201,0.748777,0.881338
5,85,1.75032,3.09535,-0.982878,-0.178557,0.0454802,0.992641,0.557143
8,155,0.367142,1.10018,0.162761,0.933357,0.319928,0.675099,0.116865
3,135,1.56332,4.17283,-0.513741,0.00747991,-0.857913,0.164127,0.497619
0,115,2.76153,6.041,0.360153,-0.928641,-0.0889717,0.461454,0.879022
2,85,1.73885,4.94477,0.227048,-0.16726,-0.959413,0.286984,0.553492
4,135,1.5708,3.57543,-0.907359,-4.37114e-08,-0.420357,0.0690476,0.5
0,75,2.26927,6.16763,0.760716,-0.643051,-0.0882958,0.481609,0.722332
9,185,1.17131,0.264847,0.889139,0.388945,0.241151,0.542152,0.37284
7,75,2.30766,1.74579,-0.128938,-0.67197,0.729268,0.777852,0.734551
8,35,1.2686,1.38786,0.173677,0.297613,0.938756,0.720884,0.40381
5,130,1.87387,2.94323,-0.935708,-0.298459,0.188078,0.96843,0.596473
3,80,2.04759,4.33501,-0.327388,-0.458928,-0.825955,0.189939,0.651767
2,130,1.85368,4.78402,0.0687211,-0.279122,-0.957794,0.2614,0.590043
9,150,0.534723,0.453019,0.458199,0.86041,0.223044,0.5721,0.170208
4,80,2.08585,3.69511,-0.74032,-0.492578,-0.457486,0.0880952,0.663946
2,50,0.431167,4.96751,0.10547,0.908478,-0.404404,0.290604,0.137245
9,30,1.48745,0.740519,0.735556,0.0832519,0.672329,0.617857,0.473469
6,70,2.5087,2.56605,-0.496188,-0.806322,0.321935,0.908399,0.798545
5,50,0.496399,3.11303,-0.476068,0.879303,0.0136001,0.995455,0.158009
1,70,2.61014,5.60288,0.393966,-0.862072,-0.318784,0.391726,0.830833
8,180,1.67791,0.87067,0.640621,-0.106909,0.760378,0.638571,0.534095
8,195,0.746551,0.811217,0.467647,0.734036,0.492441,0.629109,0.237634
1,65,2.85848,5.83072,0.251233,-0.960191,-0.122125,0.427987,0.909883
5,45,0.777918,3.17068,-0.701501,0.712376,-0.0204116,0.00462963,0.247619
6,65,2.89858,2.56217,-0.201348,-0.970618,0.131752,0.907782,0.922648
9,25,1.78878,0.733572,0.725209,-0.216266,0.653683,0.616752,0.569388
2,45,0.660316,5.03361,0.193657,0.789798,-0.581993,0.301124,0.210185
6,105,0.354639,2.75527,-0.32166,0.937772,0.130838,0.938515,0.112885
4,95,1.07712,3.68015,-0.755946,0.473869,-0.451657,0.0857143,0.342857
9,145,0.955044,0.45239,0.73422,0.577573,0.356835,0.572,0.304
2,125,2.29018,4.74979,0.0281261,-0.658918,-0.751689,0.255952,0.728985
1,105,0.185886,5.15371,0.0789413,0.982773,-0.167109,0.320238,0.0591692
3,95,0.981374,4.28282,-0.3462,0.555881,-0.755739,0.181633,0.312381
5,125,2.26693,2.86583,-0.738334,-0.641258,0.208927,0.956111,0.721587
5,135,1.56027,2.9593,-0.983377,0.0105271,0.181272,0.970988,0.496649
1,115,2.79965,5.38559,0.209067,-0.942105,-0.262162,0.357143,0.891156
3,85,1.76074,4.31346,-0.381449,-0.188806,-0.904903,0.186508,0.560462
9,155,0.335103,0.336599,0.310412,0.944376,0.108618,0.553571,0.106667
2,135,1.54618,4.79105,0.0785561,0.0246091,-0.996606,0.262519,0.492166
6,115,2.77557,2.22879,-0.218867,-0.933759,0.283181,0.854722,0.883492
4,85,1.77338,3.71755,-0.82152,-0.2012,-0.533502,0.0916667,0.564484
9,35,1.2808,0.718654,0.721265,0.285946,0.630882,0.614377,0.407692
6,75,2.26283,2.44845,-0.592275,-0.638107,0.491966,0.889683,0.720282
5,55,0.121455,2.96841,-0.119344,0.992633,0.0208772,0.972437,0.0386602
8,185,1.24001,0.894828,0.591736,0.324782,0.737811,0.642416,0.394709
1,75,2.287,5.53519,0.552942,-0.656529,-0.513055,0.380952,0.727976
8,190,1.02934,0.81942,0.585,0.515383,0.626224,0.630415,0.32765
5,40,1.11452,3.12663,-0.897598,0.440611,0.013429,0.997619,0.354762
2,40,0.989421,5.05956,0.284343,0.549174,-0.785848,0.305255,0.314943
9,20,2.21358,0.793377,0.561457,-0.599423,0.570489,0.62627,0.704603
4,90,1.27808,3.70309,-0.810453,0.288554,-0.509805,0.0893651,0.406825
6,100,0.724834,2.42641,-0.500556,0.748609,0.434773,0.886175,0.230722
2,120,2.59315,4.86172,0.0775668,-0.853337,-0.515557,0.273767,0.825425
9,140,1.26038,0.418879,0.869883,0.305458,0.387297,0.566667,0.40119
3,90,1.28556,4.32393,-0.36346,0.281384,-0.888099,0.188175,0.409206
1,100,0.768214,5.46403,0.47447,0.719153,-0.507639,0.369627,0.24453
5,120,2.56517,2.88774,-0.527564,-0.838416,0.136876,0.959598,0.816518
